latitude,longitude,date
32.822,-117.225,07/01/1976
33.52,-112.094,11/01/1978
32.841,-116.989,09/01/1979
33.375,-111.842,11/01/1979
32.609,-117.081,10/01/1981
32.252,-110.859,05/01/1982
38.468,-121.415,12/01/1982
33.922,-118.104,04/17/1983
37.48,-122.217,06/01/1983
33.704,-117.935,08/15/1983
47.565,-122.329,09/15/1983
34.134,-117.926,10/01/1983
45.556,-122.521,10/27/1983
47.657,-117.333,12/01/1983
40.658,-111.891,01/12/1984
47.225,-122.467,05/24/1984
38.598,-121.452,08/06/1984
47.445,-122.251,08/30/1984
61.145,-149.885,10/25/1984
33.863,-117.924,11/01/1984
34.184,-118.323,11/01/1984
47.905,-122.207,11/01/1984
26.587,-80.071,11/15/1984
36.852,-76.201,11/19/1984
35.137,-106.616,12/01/1984
28.662,-81.415,06/20/1985
33.945,-118.335,07/08/1985
47.681,-122.183,08/29/1985
36.809,-119.874,09/12/1985
35.383,-119.047,10/03/1985
45.508,-122.841,10/29/1985
49.251,-122.919,10/30/1985
34.014,-117.745,11/01/1985
53.58,-113.58,11/14/1985
39.197,-76.597,11/15/1985
34.224,-119.15,11/18/1985
37.358,-121.937,12/06/1985
37.372,-121.996,07/01/1986
50.99,-114.044,08/28/1986
28.496,-81.426,09/18/1986
37.898,-122.321,10/16/1986
38.021,-121.292,10/23/1986
33.804,-118.165,11/01/1986
45.436,-122.756,11/03/1986
38.42,-122.712,11/11/1986
45.428,-122.575,11/24/1986
47.654,-122.682,11/25/1986
38.851,-77.373,11/28/1986
37.311,-121.851,11/28/1986
37.959,-122.035,12/10/1986
34.187,-118.603,12/18/1986
33.995,-117.921,12/19/1986
37.641,-122.403,05/18/1987
37.718,-122.181,05/21/1987
37.254,-121.876,06/01/1987
33.774,-117.941,06/25/1987
46.226,-119.235,07/01/1987
38.862,-77.057,07/06/1987
33.624,-111.902,07/06/1987
40.862,-73.133,07/13/1987
34.088,-118.148,08/24/1987
37.665,-122.449,10/01/1987
40.529,-74.377,10/24/1987
45.502,-73.382,11/18/1987
33.469,-117.676,12/04/1987
39.359,-76.447,03/12/1988
21.318,-157.87,05/12/1988
37.502,-121.971,05/26/1988
33.644,-112.231,08/01/1988
43.521,-79.688,09/15/1988
37.106,-76.495,09/17/1988
34.66,-118.149,09/29/1988
49.193,-123.122,10/08/1988
43.585,-116.274,10/11/1988
34.515,-117.32,10/13/1988
46.84,-71.269,10/27/1988
33.89,-117.521,11/01/1988
39.507,-119.786,11/08/1988
25.656,-80.413,11/16/1988
34.925,-120.419,11/22/1988
26.274,-80.148,11/29/1988
47.287,-122.314,03/09/1989
37.782,-121.975,03/16/1989
32.327,-111.048,04/01/1989
26.808,-80.087,05/18/1989
34.069,-117.261,06/22/1989
37.7,-121.066,08/10/1989
26.097,-80.251,08/17/1989
40.759,-73.422,09/16/1989
34.23,-118.554,09/23/1989
49.139,-122.847,10/19/1989
25.775,-80.322,10/26/1989
45.573,-73.757,11/01/1989
33.349,-111.959,11/01/1989
34.182,-118.464,11/09/1989
44.09,-123.068,11/09/1989
36.617,-121.847,11/16/1989
45.609,-73.585,11/18/1989
38.132,-122.215,12/07/1989
33.556,-117.677,03/01/1990
40.586,-122.347,04/05/1990
53.455,-113.469,04/19/1990
39.033,-76.91,06/02/1990
38.59,-121.264,06/23/1990
39.157,-77.213,07/28/1990
26.412,-80.102,08/30/1990
49.902,-97.2,10/25/1990
51.078,-113.989,11/01/1990
39.864,-105.067,11/03/1990
37.511,-77.607,11/03/1990
39.69,-104.866,11/03/1990
42.919,-81.211,11/07/1990
42.132,-72.622,11/08/1990
46.565,-120.496,11/14/1990
39.023,-77.404,11/17/1990
36.806,-119.701,11/19/1990
36.294,-119.306,11/20/1990
42.557,-70.979,11/29/1990
49.261,-123.0,12/01/1990
33.802,-116.391,03/09/1991
45.415,-75.602,07/10/1991
39.639,-105.085,08/01/1991
49.888,-119.42,08/15/1991
38.01,-121.833,08/29/1991
43.406,-80.392,09/11/1991
42.135,-71.068,09/12/1991
40.891,-74.25,09/28/1991
39.723,-121.81,10/15/1991
52.194,-106.675,10/22/1991
42.374,-122.887,10/29/1991
33.875,-117.743,11/01/1991
48.791,-122.515,11/13/1991
46.997,-122.918,11/14/1991
36.069,-115.037,11/15/1991
41.443,-73.405,11/21/1991
37.641,-77.56,11/23/1991
33.52,-117.156,11/26/1991
46.895,-114.039,11/27/1991
45.755,-108.569,12/05/1991
40.42,-74.173,12/07/1991
19.499,-99.285,02/29/1992
38.086,-122.552,03/11/1992
42.703,-71.441,03/18/1992
44.92,-122.997,03/26/1992
49.896,-97.054,04/08/1992
34.403,-118.46,05/01/1992
32.812,-115.57,05/14/1992
38.787,-77.515,06/27/1992
41.107,-74.026,06/30/1992
40.831,-74.136,07/01/1992
37.667,-122.103,07/05/1992
33.938,-117.279,09/01/1992
21.284,-157.71,09/03/1992
45.486,-73.553,09/30/1992
38.217,-122.144,10/01/1992
34.077,-117.547,10/01/1992
33.727,-117.796,10/01/1992
33.122,-117.317,10/03/1992
47.767,-117.385,10/16/1992
46.781,-71.328,10/21/1992
32.988,-117.076,10/23/1992
40.744,-73.598,10/24/1992
46.331,-72.571,11/04/1992
61.21,-149.804,11/05/1992
38.739,-77.2,11/07/1992
33.661,-117.744,11/14/1992
44.657,-63.676,11/18/1992
32.775,-117.022,11/19/1992
40.056,-74.155,11/21/1992
53.596,-113.415,11/24/1992
37.42,-122.093,12/09/1992
25.914,-80.154,12/12/1992
25.919,-80.297,12/12/1992
49.237,-124.045,02/25/1993
41.249,-73.024,04/22/1993
19.333,-99.144,05/01/1993
46.146,-123.915,07/15/1993
42.593,-114.464,07/20/1993
46.423,-117.044,07/29/1993
40.631,-73.738,08/12/1993
40.776,-73.052,08/14/1993
20.615,-103.448,08/15/1993
44.055,-121.27,08/17/1993
53.885,-122.771,08/24/1993
44.506,-73.177,08/25/1993
48.079,-123.125,09/09/1993
50.447,-104.505,10/01/1993
41.543,-72.971,10/13/1993
45.475,-75.701,10/14/1993
43.612,-79.691,10/20/1993
58.358,-134.483,11/04/1993
34.037,-118.104,11/06/1993
40.907,-74.571,11/09/1993
42.396,-71.264,11/10/1993
37.702,-121.811,11/17/1993
37.771,-122.411,11/18/1993
32.607,-115.433,11/20/1993
19.687,-156.02,11/22/1993
33.187,-117.276,11/24/1993
51.483,0.281,11/30/1993
45.393,-71.952,12/01/1993
37.302,-120.494,12/02/1993
48.235,-114.331,12/03/1993
20.594,-100.392,12/04/1993
49.662,-112.795,12/04/1993
44.335,-79.681,12/07/1993
43.865,-79.019,12/08/1993
32.636,-117.025,01/13/1994
21.122,-101.682,05/15/1994
40.898,-73.794,06/03/1994
51.666,-0.362,06/09/1994
47.776,-122.344,06/30/1994
40.861,-74.064,07/21/1994
37.561,-122.275,08/04/1994
19.375,-99.192,08/16/1994
36.985,-122.035,08/18/1994
29.084,-110.98,08/25/1994
47.551,-122.05,09/09/1994
45.47,-73.819,09/13/1994
43.178,-79.249,09/14/1994
37.528,126.892,10/07/1994
21.881,-102.294,10/14/1994
33.392,-111.668,10/27/1994
40.792,-124.179,11/03/1994
43.846,-79.355,11/15/1994
43.678,-79.71,11/16/1994
50.656,-120.39,11/22/1994
33.473,-111.985,12/01/1994
45.536,-73.661,12/02/1994
32.531,-117.037,12/09/1994
19.376,-99.213,02/17/1995
49.023,-122.265,04/18/1995
38.428,-78.855,05/04/1995
39.158,-78.159,05/23/1995
20.888,-156.451,05/26/1995
55.875,-4.232,06/06/1995
47.402,-120.282,06/23/1995
43.623,-79.507,08/23/1995
40.807,-73.287,08/25/1995
53.414,-2.999,08/31/1995
47.508,-52.832,09/12/1995
45.434,-73.478,09/27/1995
46.129,-64.778,10/26/1995
38.782,-121.266,11/10/1995
48.383,-71.084,11/28/1995
42.261,-82.968,11/29/1995
53.47,-2.349,12/01/1995
40.731,-111.9,12/02/1995
43.344,-79.825,12/05/1995
43.759,-79.297,12/06/1995
40.573,-74.17,12/15/1995
52.201,-113.817,03/12/1996
55.169,-118.846,03/13/1996
45.335,-75.724,03/26/1996
34.283,-118.797,05/01/1996
40.052,-76.256,05/24/1996
34.578,-112.363,06/27/1996
34.153,-118.797,08/08/1996
47.826,-122.311,10/03/1996
33.949,-84.143,11/13/1996
33.928,-84.352,11/13/1996
34.126,-118.263,11/15/1996
40.767,-73.937,11/20/1996
40.655,-74.007,11/21/1996
22.62,120.313,01/18/1997
35.886,128.583,07/26/1997
53.788,-1.535,08/07/1997
45.713,-111.071,08/28/1997
36.703,-121.667,08/29/1997
25.623,-100.289,09/03/1997
34.005,-84.569,09/13/1997
55.879,-3.168,09/18/1997
40.091,-75.384,10/11/1997
45.765,-74.019,10/23/1997
40.812,-74.38,10/25/1997
44.261,-76.56,11/18/1997
39.561,-104.879,11/20/1997
42.231,-71.175,03/17/1998
42.418,-83.433,05/01/1998
42.517,-83.119,05/01/1998
42.382,-83.334,05/01/1998
42.605,-83.294,05/01/1998
42.496,-82.937,05/01/1998
36.35,127.385,05/29/1998
33.808,-118.332,09/24/1998
39.675,-75.649,10/01/1998
49.256,-122.745,10/15/1998
41.846,-87.963,11/17/1998
42.055,-88.045,11/17/1998
40.694,-74.29,11/19/1998
43.786,-79.542,11/19/1998
19.442,-99.206,11/21/1998
34.428,-119.873,11/24/1998
19.405,-99.272,12/07/1998
48.458,-123.502,03/11/1999
39.96,-105.172,04/15/1999
33.652,130.487,04/23/1999
33.991,-118.446,06/24/1999
40.238,-75.237,07/10/1999
25.065,121.576,07/31/1999
40.564,-74.556,08/24/1999
35.963,-86.819,08/27/1999
21.149,-86.836,09/23/1999
26.546,-81.875,09/30/1999
40.973,-73.863,10/29/1999
46.505,-80.947,11/16/1999
35.192,-89.793,11/18/1999
35.046,-89.796,11/18/1999
32.712,-117.114,11/22/1999
40.282,-111.68,11/23/1999
26.219,-81.773,12/07/1999
28.597,-81.301,12/08/1999
25.056,121.633,01/15/2000
39.297,-84.302,02/16/2000
53.476,-2.662,03/09/2000
19.532,-96.914,05/12/2000
42.012,-87.782,06/01/2000
40.551,-111.894,06/02/2000
33.659,-112.115,06/22/2000
32.78,-117.13,06/29/2000
57.148,-2.28,07/15/2000
21.42,-158.006,07/20/2000
48.454,-122.338,08/03/2000
54.96,-1.665,08/26/2000
19.051,-98.175,09/15/2000
33.045,-96.7,09/21/2000
32.676,-97.405,09/21/2000
35.068,-106.531,10/24/2000
52.918,-1.441,10/28/2000
34.742,-86.601,11/02/2000
39.116,-119.776,11/10/2000
47.156,-122.309,11/14/2000
37.125,-113.522,11/15/2000
44.968,-93.35,11/16/2000
42.707,-83.296,11/22/2000
27.923,-82.332,11/28/2000
30.252,-81.536,11/29/2000
36.028,-78.914,11/30/2000
33.899,-118.373,12/05/2000
39.286,-84.452,12/06/2000
37.462,127.036,12/12/2000
35.655,140.028,12/13/2000
39.068,-94.583,01/12/2001
42.185,-88.092,02/21/2001
