latitude,longitude,date
32.822,-117.225,7/1/1976
33.52,-112.094,11/1/1978
32.841,-116.989,9/1/1979
33.375,-111.842,11/1/1979
32.609,-117.081,10/1/1981
32.252,-110.859,5/1/1982
38.468,-121.415,12/1/1982
33.922,-118.104,4/17/1983
37.48,-122.217,6/1/1983
33.704,-117.935,8/15/1983
47.565,-122.329,9/15/1983
34.134,-117.926,10/1/1983
45.556,-122.521,10/27/1983
47.657,-117.333,12/1/1983
40.658,-111.891,1/12/1984
47.225,-122.467,5/24/1984
38.598,-121.452,8/6/1984
47.445,-122.251,8/30/1984
61.145,-149.885,10/25/1984
47.905,-122.207,11/1/1984
33.863,-117.924,11/1/1984
34.184,-118.323,11/1/1984
26.587,-80.071,11/15/1984
36.852,-76.201,11/19/1984
35.137,-106.616,12/1/1984
28.662,-81.415,6/20/1985
33.945,-118.335,7/8/1985
47.681,-122.183,8/29/1985
36.809,-119.874,9/12/1985
35.383,-119.047,10/3/1985
45.508,-122.841,10/29/1985
34.014,-117.745,11/1/1985
39.197,-76.597,11/15/1985
34.224,-119.15,11/18/1985
37.358,-121.937,12/6/1985
37.372,-121.996,7/1/1986
28.496,-81.426,9/18/1986
37.898,-122.321,10/16/1986
38.021,-121.292,10/23/1986
33.804,-118.165,11/1/1986
45.436,-122.756,11/3/1986
38.42,-122.712,11/11/1986
45.428,-122.575,11/24/1986
47.654,-122.682,11/25/1986
37.311,-121.851,11/28/1986
38.851,-77.373,11/28/1986
37.959,-122.035,12/10/1986
34.187,-118.603,12/18/1986
33.995,-117.921,12/19/1986
37.641,-122.403,5/18/1987
37.718,-122.181,5/21/1987
37.254,-121.876,6/1/1987
33.774,-117.941,6/25/1987
46.226,-119.235,7/1/1987
38.862,-77.057,7/6/1987
33.624,-111.902,7/6/1987
40.862,-73.133,7/13/1987
34.088,-118.148,8/24/1987
37.665,-122.449,10/1/1987
40.529,-74.377,10/24/1987
33.469,-117.676,12/4/1987
39.359,-76.447,3/12/1988
21.318,-157.87,5/12/1988
37.502,-121.971,5/26/1988
33.644,-112.231,8/1/1988
37.106,-76.495,9/17/1988
34.66,-118.149,9/29/1988
43.585,-116.274,10/11/1988
34.515,-117.32,10/13/1988
33.89,-117.521,11/1/1988
39.507,-119.786,11/8/1988
25.656,-80.413,11/16/1988
34.925,-120.419,11/22/1988
26.274,-80.148,11/29/1988
47.287,-122.314,3/9/1989
37.782,-121.975,3/16/1989
32.327,-111.048,4/1/1989
26.808,-80.087,5/18/1989
34.069,-117.261,6/22/1989
37.7,-121.066,8/10/1989
26.097,-80.251,8/17/1989
40.759,-73.422,9/16/1989
34.23,-118.554,9/23/1989
25.775,-80.322,10/26/1989
33.349,-111.959,11/1/1989
44.09,-123.068,11/9/1989
34.182,-118.464,11/9/1989
36.617,-121.847,11/16/1989
38.132,-122.215,12/7/1989
33.556,-117.677,3/1/1990
40.586,-122.347,4/5/1990
39.033,-76.91,6/2/1990
38.59,-121.264,6/23/1990
39.157,-77.213,7/28/1990
26.412,-80.102,8/30/1990
39.69,-104.866,11/3/1990
39.864,-105.067,11/3/1990
