latitude,longitude,date
47.565,-122.329,9/15/83
45.556,-122.521,10/27/83
47.445,-122.251,8/30/84
47.681,-122.183,8/29/85
45.508,-122.841,10/29/85
61.145,-149.885,10/25/84
47.654,-122.682,11/25/86
44.09,-123.068,11/9/89
37.782,-121.975,3/16/89
39.507,-119.786,11/8/88
33.556,-117.677,3/1/90
38.782,-121.266,11/10/95
36.809,-119.874,9/12/85
38.021,-121.292,10/23/86
38.42,-122.712,11/11/86
34.182,-118.464,11/9/89
47.287,-122.314,3/9/89
61.21,-149.804,11/5/92
46.997,-122.918,11/14/91
46.895,-114.039,11/27/91
44.92,-122.997,3/26/92
45.755,-108.569,12/5/91
26.274,-80.148,11/29/88
26.097,-80.251,8/17/89
26.808,-80.087,5/18/89
47.225,-122.467,5/24/84
45.713,-111.071,8/28/97
45.428,-122.575,11/24/86
44.055,-121.27,8/17/93
46.423,-117.044,7/29/93
47.776,-122.344,6/30/94
58.358,-134.483,11/4/93
47.551,-122.05,9/9/94
45.436,-122.756,11/3/86
47.402,-120.282,6/23/95
40.731,-111.9,12/2/95
47.905,-122.207,11/1/84
47.826,-122.311,10/3/96
35.137,-106.616,12/1/84
34.153,-118.797,8/8/96
37.718,-122.181,5/21/87
20.888,-156.451,5/26/95
21.284,-157.71,9/3/92
32.812,-115.57,5/14/92
33.727,-117.796,10/1/92
33.187,-117.276,11/24/93
40.792,-124.179,11/3/94
33.774,-117.941,6/25/87
39.116,-119.776,11/10/00
34.283,-118.797,5/1/96
37.358,-121.937,12/6/85
34.126,-118.263,11/15/96
36.617,-121.847,11/16/89
38.132,-122.215,12/7/89
40.586,-122.347,4/5/90
19.687,-156.02,11/22/93
38.086,-122.552,3/11/92
37.302,-120.494,12/2/93
37.42,-122.093,12/9/92
37.771,-122.411,11/18/93
42.593,-114.464,7/20/93
37.702,-121.811,11/17/93
37.561,-122.275,8/4/94
37.311,-121.851,11/28/86
36.985,-122.035,8/18/94
26.587,-80.071,11/15/84
25.919,-80.297,12/12/92
28.662,-81.415,6/20/85
28.597,-81.301,12/8/99
33.949,-84.143,11/13/96
